City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
284,Oxford,GB,2022-10-05 22:11:28,51.7522,-1.256,52.75,81,0,9.22
285,Byron Bay,AU,2022-10-05 22:07:34,-28.65,153.6167,61.95,84,100,1.61
286,Seoul,KR,2022-10-05 22:10:08,37.5683,126.9778,58.39,73,96,3.09
287,Herat,AF,2022-10-05 22:11:29,34.5,62.0,54.68,16,0,11.39
288,Mogadishu,SO,2022-10-05 22:11:29,2.0371,45.3438,77.72,84,69,12.97
289,Sydney,AU,2022-10-05 22:07:35,-33.8679,151.2073,60.58,92,75,20.71
290,Pitimbu,BR,2022-10-05 22:11:30,-7.4706,-34.8086,77.59,84,0,10.31
291,Portland,US,2022-10-05 22:09:17,45.5234,-122.6762,79.0,66,40,3.44
292,Kilindoni,TZ,2022-10-05 22:11:30,-7.9139,39.6668,75.83,71,14,14.61
293,Sur,OM,2022-10-05 22:11:31,22.5667,59.5289,80.96,60,0,8.23
